"","team","half","a1_zone","sum_goal","sum_shot_on_goal","shooting_percentage"
"1","ANA","first","center_lane",1,4,25
"2","ANA","first","left_lane",1,2,50
"3","ANA","first","right_lane",0,2,0
"4","ANA","second","center_lane",1,4,25
"5","ANA","second","left_lane",1,2,50
"6","ANA","second","right_lane",0,2,0
"7","ANA",NA,"center_lane",0,2,0
"8","ANA",NA,"left_lane",0,0,NA
"9","ARI","first","center_lane",1,2,50
"10","ARI","first","left_lane",0,2,0
"11","ARI","first","right_lane",0,2,0
"12","ARI","second","center_lane",1,4,25
"13","ARI","second","left_lane",0,3,0
"14","ARI","second","right_lane",0,1,0
"15","ARI",NA,"left_lane",1,1,100
"16","BOS","first","center_lane",0,2,0
"17","BOS","first","left_lane",1,2,50
"18","BOS","first","right_lane",1,2,50
"19","BOS","second","center_lane",3,8,37.5
"20","BOS","second","left_lane",2,5,40
"21","BOS","second","right_lane",0,3,0
"22","BOS",NA,"right_lane",0,1,0
"23","BUF","first","center_lane",0,2,0
"24","BUF","first","left_lane",0,1,0
"25","BUF","first","right_lane",0,2,0
"26","BUF","second","center_lane",0,3,0
"27","BUF","second","left_lane",0,0,NA
"28","CAR","first","center_lane",1,5,20
"29","CAR","first","left_lane",0,3,0
"30","CAR","first","right_lane",0,2,0
"31","CAR","second","center_lane",0,2,0
"32","CAR","second","left_lane",1,6,16.6666666666667
"33","CAR","second","right_lane",0,1,0
"34","CAR",NA,"center_lane",0,1,0
"35","CAR",NA,"right_lane",0,1,0
"36","CBJ","first","center_lane",1,2,50
"37","CBJ","first","left_lane",0,3,0
"38","CBJ","first","right_lane",2,2,100
"39","CBJ","second","center_lane",2,3,66.6666666666667
"40","CBJ","second","left_lane",0,1,0
"41","CBJ","second","right_lane",0,1,0
"42","CGY","first","center_lane",2,6,33.3333333333333
"43","CGY","first","left_lane",0,1,0
"44","CGY","first","right_lane",1,3,33.3333333333333
"45","CGY","second","center_lane",3,22,13.6363636363636
"46","CGY","second","left_lane",1,4,25
"47","CGY","second","right_lane",0,4,0
"48","CGY",NA,"center_lane",1,1,100
"49","CGY",NA,"left_lane",0,0,NA
"50","CHI","first","center_lane",2,12,16.6666666666667
"51","CHI","first","left_lane",3,6,50
"52","CHI","first","right_lane",0,4,0
"53","CHI","second","center_lane",3,8,37.5
"54","CHI","second","left_lane",0,4,0
"55","CHI","second","right_lane",0,5,0
"56","COL","first","center_lane",0,4,0
"57","COL","first","left_lane",0,0,NA
"58","COL","second","center_lane",0,3,0
"59","COL","second","left_lane",1,3,33.3333333333333
"60","COL","second","right_lane",0,0,NA
"61","COL",NA,"center_lane",1,1,100
"62","DAL","first","center_lane",1,7,14.2857142857143
"63","DAL","first","left_lane",2,8,25
"64","DAL","first","right_lane",1,5,20
"65","DAL","second","center_lane",3,12,25
"66","DAL","second","left_lane",0,4,0
"67","DAL","second","right_lane",3,7,42.8571428571429
"68","DET","first","center_lane",1,1,100
"69","DET","first","left_lane",0,2,0
"70","DET","first","right_lane",0,1,0
"71","DET","second","center_lane",1,3,33.3333333333333
"72","DET","second","left_lane",0,0,NA
"73","DET","second","right_lane",1,1,100
"74","DET",NA,"center_lane",2,4,50
"75","DET",NA,"left_lane",0,1,0
"76","EDM","first","center_lane",3,5,60
"77","EDM","first","left_lane",0,4,0
"78","EDM","first","right_lane",2,2,100
"79","EDM","second","center_lane",1,4,25
"80","EDM","second","left_lane",1,3,33.3333333333333
"81","EDM","second","right_lane",1,2,50
"82","FLA","first","center_lane",2,9,22.2222222222222
"83","FLA","first","faceoff",0,1,0
"84","FLA","first","left_lane",1,4,25
"85","FLA","first","right_lane",1,1,100
"86","FLA","second","center_lane",1,5,20
"87","FLA","second","left_lane",0,5,0
"88","FLA","second","right_lane",1,6,16.6666666666667
"89","FLA",NA,"center_lane",1,2,50
"90","FLA",NA,"left_lane",0,1,0
"91","FLA",NA,"right_lane",0,1,0
"92","L.A","first","center_lane",2,4,50
"93","L.A","first","left_lane",0,1,0
"94","L.A","first","right_lane",0,1,0
"95","L.A","second","center_lane",1,4,25
"96","L.A","second","left_lane",0,1,0
"97","L.A","second","right_lane",0,0,NA
"98","L.A",NA,"right_lane",0,0,NA
"99","MIN","first","center_lane",2,5,40
"100","MIN","first","left_lane",0,2,0
"101","MIN","first","right_lane",1,2,50
"102","MIN","second","center_lane",4,6,66.6666666666667
"103","MIN","second","right_lane",1,2,50
"104","MIN",NA,"center_lane",0,3,0
"105","MTL","first","center_lane",0,2,0
"106","MTL","first","left_lane",1,5,20
"107","MTL","first","right_lane",0,2,0
"108","MTL","second","left_lane",0,1,0
"109","MTL","second","right_lane",0,1,0
"110","MTL",NA,"center_lane",0,3,0
"111","MTL",NA,"left_lane",0,1,0
"112","MTL",NA,"right_lane",0,1,0
"113","N.J","first","center_lane",1,4,25
"114","N.J","first","left_lane",1,8,12.5
"115","N.J","first","right_lane",3,10,30
"116","N.J","second","center_lane",3,4,75
"117","N.J","second","left_lane",0,2,0
"118","N.J","second","right_lane",0,2,0
"119","N.J",NA,"center_lane",0,2,0
"120","N.J",NA,"right_lane",1,1,100
"121","NSH","first","center_lane",1,3,33.3333333333333
"122","NSH","first","left_lane",0,2,0
"123","NSH","first","right_lane",0,1,0
"124","NSH","second","center_lane",1,4,25
"125","NSH","second","left_lane",0,3,0
"126","NSH","second","right_lane",1,2,50
"127","NSH",NA,"center_lane",0,2,0
"128","NYI","first","center_lane",0,2,0
"129","NYI","first","left_lane",0,2,0
"130","NYI","first","right_lane",0,0,NA
"131","NYI","second","center_lane",0,3,0
"132","NYI","second","left_lane",0,1,0
"133","NYI","second","right_lane",0,3,0
"134","NYI",NA,"right_lane",0,1,0
"135","NYR","first","center_lane",5,7,71.4285714285714
"136","NYR","first","faceoff",0,1,0
"137","NYR","first","left_lane",2,4,50
"138","NYR","first","right_lane",1,4,25
"139","NYR","second","center_lane",2,4,50
"140","NYR","second","left_lane",0,1,0
"141","NYR","second","right_lane",0,2,0
"142","NYR",NA,"center_lane",0,1,0
"143","OTT","first","center_lane",0,2,0
"144","OTT","first","left_lane",0,3,0
"145","OTT","first","right_lane",0,1,0
"146","OTT","second","center_lane",1,3,33.3333333333333
"147","OTT","second","right_lane",0,1,0
"148","OTT",NA,"center_lane",1,2,50
"149","OTT",NA,"left_lane",1,1,100
"150","OTT",NA,"right_lane",0,2,0
"151","PHI","first","center_lane",0,2,0
"152","PHI","first","left_lane",0,2,0
"153","PHI","first","right_lane",0,3,0
"154","PHI","second","center_lane",0,3,0
"155","PHI","second","left_lane",1,4,25
"156","PHI","second","right_lane",1,3,33.3333333333333
"157","PHI",NA,"center_lane",0,3,0
"158","PIT","first","center_lane",1,3,33.3333333333333
"159","PIT","second","center_lane",3,6,50
"160","PIT","second","left_lane",0,2,0
"161","PIT","second","right_lane",1,2,50
"162","PIT",NA,"center_lane",2,4,50
"163","PIT",NA,"left_lane",1,2,50
"164","PIT",NA,"right_lane",0,1,0
"165","S.J","first","center_lane",1,8,12.5
"166","S.J","first","left_lane",1,2,50
"167","S.J","first","right_lane",3,9,33.3333333333333
"168","S.J","second","center_lane",1,7,14.2857142857143
"169","S.J","second","left_lane",0,0,NA
"170","S.J","second","right_lane",0,1,0
"171","STL","first","center_lane",3,6,50
"172","STL","first","left_lane",1,3,33.3333333333333
"173","STL","second","center_lane",1,1,100
"174","STL","second","left_lane",0,0,NA
"175","STL","second","right_lane",0,1,0
"176","STL",NA,"center_lane",1,2,50
"177","STL",NA,"right_lane",0,1,0
"178","T.B","first","center_lane",0,2,0
"179","T.B","first","left_lane",0,3,0
"180","T.B","first","right_lane",0,0,NA
"181","T.B","second","center_lane",0,2,0
"182","T.B","second","left_lane",1,3,33.3333333333333
"183","T.B","second","right_lane",1,1,100
"184","T.B",NA,"center_lane",0,3,0
"185","T.B",NA,"left_lane",0,1,0
"186","TOR","first","center_lane",2,7,28.5714285714286
"187","TOR","first","left_lane",0,0,NA
"188","TOR","first","right_lane",1,3,33.3333333333333
"189","TOR","second","center_lane",1,1,100
"190","TOR","second","left_lane",0,1,0
"191","TOR","second","right_lane",0,2,0
"192","TOR",NA,"center_lane",0,2,0
"193","TOR",NA,"left_lane",0,1,0
"194","TOR",NA,"right_lane",1,1,100
"195","VAN","first","center_lane",1,10,10
"196","VAN","first","left_lane",1,4,25
"197","VAN","first","right_lane",0,5,0
"198","VAN","second","center_lane",1,4,25
"199","VAN","second","left_lane",0,2,0
"200","VAN","second","right_lane",0,1,0
"201","VAN",NA,"center_lane",0,0,NA
"202","WPG","first","center_lane",3,6,50
"203","WPG","first","left_lane",0,2,0
"204","WPG","first","right_lane",2,4,50
"205","WPG","second","center_lane",2,5,40
"206","WPG","second","left_lane",1,1,100
"207","WPG","second","right_lane",0,1,0
"208","WPG",NA,"left_lane",0,1,0
"209","WSH","first","center_lane",1,3,33.3333333333333
"210","WSH","first","right_lane",0,0,NA
"211","WSH","second","center_lane",0,1,0
"212","WSH","second","left_lane",1,2,50
"213","WSH",NA,"center_lane",1,3,33.3333333333333
"214","WSH",NA,"right_lane",0,2,0
